#domain,ioc,uri_path
dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/
dianqi2.dianqi1.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/
dianqi2.jiayongdianqi.xyz,Possible Cobalt Strike C2 Domain,/home/
digital.yesky.com,Possible Cobalt Strike C2 Fronted Domain,/owa
dns.antegivi.com,Possible Cobalt Strike C2 Domain,/pixel
dns.binsmob.com,Possible Cobalt Strike C2 Domain,/pixel
dns.checkavail.space,Possible Cobalt Strike C2 Domain,/maps/overlaybfpr
dns.djn.blue,Possible Cobalt Strike C2 Domain,/api
dns.exploitresearch.art,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
dns.forcorpor.com,Possible Cobalt Strike C2 Domain,/dot.gif
dns.greypsecurity.training,Possible Cobalt Strike C2 Domain,/search/
dns.incididunt.com,Possible Cobalt Strike C2 Domain,/pixel.gif
dns.ns1.akingump.cloud,Possible Cobalt Strike C2 Domain,/fwlink
dns.velmeded.com,Possible Cobalt Strike C2 Domain,/dot.gif
dns.veriernano.com,Possible Cobalt Strike C2 Domain,/push
dnsproxy.blueseaedu.com,Possible Cobalt Strike C2 Domain,/maps/overlaybfpr
dnsswag.djn.blue,Possible Cobalt Strike C2 Domain,/search
doc.bluework.ink,Possible Cobalt Strike C2 Domain,/jquery-3.3.1.min.js
doc.freeonline-office.com,Possible Cobalt Strike C2 Domain,/signin
download.windowsupdate.com,Possible Cobalt Strike C2 Fronting Domain,/c/msdownload/update/others/2020/10/29136388_
dropper.bilibili360.xyz,Possible Cobalt Strike C2 Domain,/cm
dt.localtoast.co.za,Possible Cobalt Strike C2 Domain,/api/get.php
ec2-cs01-verify.ossaliyun.info,Possible Cobalt Strike C2 Domain,/load
edusupport.microsoft.com,Possible Cobalt Strike C2 Fronting Domain,/lib/v2/wcp-consent.js
exchanges1.microsoftser.top,Possible Cobalt Strike C2 Domain,/fwlink
exchanges1.microsoftser.top,Possible Cobalt Strike C2 Domain,/rp/1hGciYbPE6ALKVPnmrkw4Pko3GI.br.js
exchanges2.microsoftser.top,Possible Cobalt Strike C2 Domain,/ptj
exchanges2.microsoftser.top,Possible Cobalt Strike C2 Domain,/rp/1hGciYbPE6ALKVPnmrkw4Pko3GI.br.js
exl.officeappsreviews.com,Possible Cobalt Strike C2 Domain,/lanche-334e58sfj4eeu7h4dd3sss32d
external.myazureonline.com,Possible Cobalt Strike C2 Domain,/IE9CompatViewList.xml
external.myazureonline.com,Possible Cobalt Strike C2 Domain,/ga.js
file.spotify.com.s3.bucket-amazon.com,Possible Cobalt Strike C2 Domain,/signin
forcorpor.com,Possible Cobalt Strike C2 Domain,/dpixel
google.com,Possible Cobalt Strike C2 Fronting Domain,/modcp.css
google.ru,Possible Cobalt Strike C2 Fronting Domain,/eso.html
googlecloudsvcs.com,Possible Cobalt Strike C2 Domain,/en_US/all.js
googlecloudsvcs.com,Possible Cobalt Strike C2 Domain,/match
groupline.org,Possible Cobalt Strike C2 Domain,/bg
groupline.org,Possible Cobalt Strike C2 Domain,/faq
help.npmstatic.com,Possible Cobalt Strike C2 Domain,/page.jsp
hommyyy-hjbggphhf5bnfmhu.z01.azurefd.net,Possible Cobalt Strike C2 Domain,/safebrowsing/oAX7UR/hCvS3syeaHpeu3IgZr7FUN
huvoyofib.org,Possible Cobalt Strike C2 Fronted Domain,/eso.html
