#domain,ioc
www.ggcsg.live,Possible Cobalt Strike C2 Domain
www.guestwhoami.xyz,Possible Cobalt Strike C2 Domain
www.happynewgamewx.xyz,Possible Cobalt Strike C2 Domain
www.ilovechina.site,Possible Cobalt Strike C2 Domain
www.j-j-j.cn,Possible Cobalt Strike C2 Fronted Domain
www.jntm.cn.com,Possible Cobalt Strike C2 Domain
www.linkkedin.life,Possible Cobalt Strike C2 Domain
www.micorsoft.live,Possible Cobalt Strike C2 Domain
www.microsofer.top,Possible Cobalt Strike C2 Domain
www.netuse1.eu.org,Possible Cobalt Strike C2 Domain
www.sharksbaby.pro,Possible Cobalt Strike C2 Domain
www.strategigears.com,Possible Cobalt Strike C2 Domain
www1.ceshi897.cn,Possible Cobalt Strike C2 Domain
www2.ceshi897.cn,Possible Cobalt Strike C2 Domain
www3.ceshi897.cn,Possible Cobalt Strike C2 Domain
xls.freeonline-office.com,Possible Cobalt Strike C2 Domain
xoyukiveni.co,Possible Cobalt Strike C2 Fronted Domain
xytcdn.hongmengchuangke.com,Possible Cobalt Strike C2 Fronted Domain
zero.kdocs.cc,Possible Cobalt Strike C2 Domain
zh-cn.imags.microsoft.com,Possible Cobalt Strike C2 Fronting Domain
zh-cn.imags.microsoft.com.w.kunlunca.com,Possible Cobalt Strike C2 Fronted Domain
zh.servicesest.services,Possible Cobalt Strike C2 Domain
zx.sortx2.com,Possible Cobalt Strike C2 Domain
zx.tackhostw.com,Possible Cobalt Strike C2 Domain
zx.vm3dservice.com,Possible Cobalt Strike C2 Domain
