#domain,ioc
ns98.0xgg.eu.org,Possible Cobalt Strike C2 Domain
ns99.0xgg.eu.org,Possible Cobalt Strike C2 Domain
ns_1.chanenergy.com,Possible Cobalt Strike C2 Domain
ns_2.chanenergy.com,Possible Cobalt Strike C2 Domain
nsa1.micrsoft.com.cn,Possible Cobalt Strike C2 Domain
nsa2.micrsoft.com.cn,Possible Cobalt Strike C2 Domain
ntlm.duckdns.org,Possible Cobalt Strike C2 Domain
office365.outlook.live.com,Possible Cobalt Strike C2 Fronting Domain
omnitruck.chef.io,Possible Cobalt Strike C2 Fronted Domain
one.cloudfleras.com,Possible Cobalt Strike C2 Domain
onedrive.live.com,Possible Cobalt Strike C2 Fronting Domain
online.microsoft-online.top,Possible Cobalt Strike C2 Domain
osce12-0-sc.url.asiainfo-sec.com,Possible Cobalt Strike C2 Fronted Domain
oss-update.duckdns.org,Possible Cobalt Strike C2 Domain
outlook.live.com,Possible Cobalt Strike C2 Fronting Domain
pak.update.nadra-pk.org,Possible Cobalt Strike C2 Domain
pass.dlsec.eu.org,Possible Cobalt Strike C2 Domain
pay.cyplahy.com,Possible Cobalt Strike C2 Domain
payload.su,Possible Cobalt Strike C2 Fronted Domain
paypal.com,Possible Cobalt Strike C2 Fronting Domain
pdf.freeonline-office.com,Possible Cobalt Strike C2 Domain
pfizer.eastus.cloudapp.azure.com,Possible Cobalt Strike C2 Fronted Domain
pic07.babytreeimg.com,Possible Cobalt Strike C2 Fronted Domain
pingan.microsoft-ppe.cn,Possible Cobalt Strike C2 Domain
pinganlife.office365update.cn,Possible Cobalt Strike C2 Domain
plenty.ecocampingplus.com,Possible Cobalt Strike C2 Domain
pop2000.ddns.net,Possible Cobalt Strike C2 Domain
post.deadbeef.zip,Possible PoshC2 Domain
powellfamilydentist.com,Possible Cobalt Strike C2 Domain
ppt.freeonline-office.com,Possible Cobalt Strike C2 Domain
ppt.officeappsreviews.com,Possible Cobalt Strike C2 Domain
primary.dreamwellfarms.com,Possible Cobalt Strike C2 Domain
primerica.azureedge.net,Possible Cobalt Strike C2 Domain
pro.mcagroupinvest.com,Possible Cobalt Strike C2 Fronted Domain
prod.ergonomic-survey.com,Possible Cobalt Strike C2 Domain
profile.office365update.cn,Possible Cobalt Strike C2 Domain
pycharm-edu.us,Possible Cobalt Strike C2 Domain
qaq.blog.happysec.cn,Possible Cobalt Strike C2 Fronting Domain
qianxing.rocks,Possible Cobalt Strike C2 Domain
qq.chenda.xyz,Possible Cobalt Strike C2 Domain
qqns.asdasd33.info,Possible Cobalt Strike C2 Domain
qqns1.asdasd33.info,Possible Cobalt Strike C2 Domain
quote.swalter.com,Possible Cobalt Strike C2 Domain
qw.sortx2.com,Possible Cobalt Strike C2 Domain
qw.sveexec.com,Possible Cobalt Strike C2 Domain
qw.tackhostw.com,Possible Cobalt Strike C2 Domain
qw.vm3dservice.com,Possible Cobalt Strike C2 Domain
rano.initiativeus.com,Possible Cobalt Strike C2 Domain
rano.outlookonlines.com,Possible Cobalt Strike C2 Domain
rea.ppesaletrend.com,Possible Cobalt Strike C2 Domain
real-stories-microsoft.com,Possible Cobalt Strike C2 Domain
reb.ppesaletrend.com,Possible Cobalt Strike C2 Domain
rechargefr.hopto.org,Possible Cobalt Strike C2 Domain
rechargetranscash.sytes.net,Possible Cobalt Strike C2 Fronted Domain
recommendation.digihealthlocker.com,Possible Cobalt Strike C2 Domain
recover.healthcarecdn.com,Possible Cobalt Strike C2 Domain
redteamone.tech,Possible Cobalt Strike C2 Domain
resysmon.net,Possible Cobalt Strike C2 Domain
riot-uat-api-west.westus.cloudapp.azure.com,Possible Cobalt Strike C2 Domain
root.sncyhkttp.nl,Possible Cobalt Strike C2 Domain
rswkl.com,Possible PoshC2 Domain
rt02-dns-rdir-lh-01.westeurope.cloudapp.azure.com,Possible Cobalt Strike C2 Domain
rtlab-zeus.com,Possible PoshC2 Domain
ru-3.myegov.eu,Possible Cobalt Strike C2 Domain
s1.mieccm.com,Possible Cobalt Strike C2 Domain
s2.mieccm.com,Possible Cobalt Strike C2 Domain
s8.svchostok.pro,Possible Cobalt Strike C2 Domain
safe.safesecuredns.co,Possible Cobalt Strike C2 Domain
salt.doctordanm.com,Possible Cobalt Strike C2 Domain
santas-secret.ru,Possible Cobalt Strike C2 Domain
sapocijo.xyz,Possible Cobalt Strike C2 Fronted Domain
scervice.shop,Possible Cobalt Strike C2 Domain
sdelay.kantik.ru,Possible Cobalt Strike C2 Domain
search.scant.online,Possible Cobalt Strike C2 Domain
seeusdt.com,Possible Cobalt Strike C2 Domain
server1.bre1ce.top,Possible Cobalt Strike C2 Domain
service-04d5qlew-1252238657.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-1cao6cjs-1312654103.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-23lhnh62-1258596386.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-28avdqqq-1259337308.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-2r21z5dz-1258209792.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-3mgi5kkg-1318387972.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-3rlc1z29-1318191688.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-3uc3y0ao-1301310284.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-4b1hpuo9-1305604765.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-4qt7wcxz-1315517919.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-4tr9xklk-1301910104.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Fronted Domain
service-536yrr0s-1305465584.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-5f0kr3pg-1308639534.nj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-6pm512hu-1306743016.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-6wso9e3t-1257357125.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-7d3qa3rc-1306912653.nj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-7hga0z7x-1259444062.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-7u28tmku-1309186631.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-8lfc508b-1307231181.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-907f2ttx-1318291330.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-93y89p5u-1307021836.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-98cbalut-1302394400.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-9op9r1ye-1306177445.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-a3q6cine-1318428097.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-asejzoh9-1252427727.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-buv6fchs-1305961616.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-d27rg2y2-1256209700.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-dijaz85p-1318228220.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-dj3eqgq2-1316113086.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-dmasysh1-1309196782.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-f19aq6v8-1300773162.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-fcvuvti8-1258973287.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-fq5k3hl2-1258128533.nj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-g50k7rwo-1307267846.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-g8z6boiv-1302310300.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-gcnqmcp3-1307217324.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-ggtktmzs-1257047345.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-goqpel8p-1313519678.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-gt4aitdw-1252551592.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-hohlyv8m-1300389563.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-hs6w7s26-1317863896.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-i0k34aj0-1306743016.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-ibovzlqe-1312654096.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-ivfpu96s-1258596386.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-j7rl21xg-1252551592.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-j815x7l4-1302505002.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-jcetme20-1314507962.nj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-jivrpccg-1258596386.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-jj2b7hxn-1303919683.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-jnbjutxg-1304098235.hk.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-k6swyxf1-1258536377.cd.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-kaic9luv-1307760246.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-kboespoo-1317138495.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-kpy719kw-1252391081.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-li2y5xbg-1314775489.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-ln38c3rd-1257826321.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-lqa4r7qi-1314027945.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-maoif4bl-1313584875.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-mewxt0rn-1251826339.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-mph8ibgh-1309275416.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-mtrar14d-1316554402.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-n51jl7jj-1313008602.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-o9r9h2tm-1259711277.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-ohddx02s-1300389563.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-ohpiv7vr-1310764774.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-plcnurt7-1300693486.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-pzmjnxrc-1306912653.nj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-qgpkja1x-1310046338.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-rb9ef747-1302014318.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
services-us-texas-m-1.skytap.com,Possible Cobalt Strike C2 Domain
settingdata.com,Possible Cobalt Strike C2 Domain
sinatxbaidu.oneneo.xyz,Possible Cobalt Strike C2 Domain
situotech.com,Possible Cobalt Strike C2 Domain
skynet-i.asuscomm.com,Possible Cobalt Strike C2 Domain
skywalker.centralus.cloudapp.azure.com,Possible Cobalt Strike C2 Domain
slow.digisert-telemetry.com,Possible Cobalt Strike C2 Domain
smss.svchost.co,Possible Cobalt Strike C2 Domain
sovodeceni.online,Possible Cobalt Strike C2 Domain
srvupdate.duckdns.org,Possible Cobalt Strike C2 Domain
static.cgbchina.com.cn.cloud.360.net,Possible Cobalt Strike C2 Fronting Domain
static.cgbchina.com.cn.cloud.360.net.cdn.dnsv1.com.cn,Possible Cobalt Strike C2 Fronted Domain
static.dingtalk.com,Possible Cobalt Strike C2 Fronted Domain
stop.lycanfinance.com,Possible Cobalt Strike C2 Domain
strategigears.com,Possible Cobalt Strike C2 Domain
study.accesscam.org,Possible Cobalt Strike C2 Domain
study.gleeze.com,Possible Cobalt Strike C2 Domain
submitgoogleurl.com,Possible Cobalt Strike C2 Domain
success.ehealthsimplified.com,Possible Cobalt Strike C2 Domain
support.azrue-mircosoft.com,Possible Cobalt Strike C2 Domain
surplusofer.com,Possible Cobalt Strike C2 Domain
takaelot.com,Possible Cobalt Strike C2 Domain
tavositaru.co,Possible Cobalt Strike C2 Domain
tcar.dnsrd.com,Possible Cobalt Strike C2 Domain
telegramexport.xyz,Possible Cobalt Strike C2 Domain
ternocorg.cf,Possible Cobalt Strike C2 Domain
test.227api.com,Possible Cobalt Strike C2 Domain
test.g-security.cn,Possible Cobalt Strike C2 Domain
test.gxzf.site,Possible Cobalt Strike C2 Domain
test1.imortal.icu,Possible Cobalt Strike C2 Domain
test2.imortal.icu,Possible Cobalt Strike C2 Domain
test3.imortal.icu,Possible Cobalt Strike C2 Domain
thetechnicalassistant.com,Possible Cobalt Strike C2 Domain
tmall.com,Possible Cobalt Strike C2 Fronting Domain
tongwl.top,Possible Cobalt Strike C2 Domain
topronet.com,Possible Cobalt Strike C2 Domain
transcash-recharge.sytes.net,Possible Cobalt Strike C2 Domain
translate.dictionary.com,Possible Cobalt Strike C2 Fronted Domain
trendmicro.96html.com,Possible Cobalt Strike C2 Fronted Domain
tube.standof365.cf,Possible Cobalt Strike C2 Domain
tvchanel.org,Possible Cobalt Strike C2 Domain
un.zxc.rocks,Possible Cobalt Strike C2 Domain
upd232.windowservicecentar.com,Possible Cobalt Strike C2 Domain
updatas.windowsupdate.com,Possible Cobalt Strike C2 Fronting Domain
update.aliyunupdate.work,Possible Cobalt Strike C2 Domain
update.asiainfo-sec.com,Possible Cobalt Strike C2 Fronting Domain
update.asiainfo-sec.com.cdn.dnsv1.com.cn,Possible Cobalt Strike C2 Fronted Domain
update.edgeupdates.com,Possible Cobalt Strike C2 Domain
update.huorongsec.com,Possible Cobalt Strike C2 Fronted Domain
update.kernel-service.workers.dev,Possible Cobalt Strike C2 Domain
update.microsoftapply.com,Possible Cobalt Strike C2 Domain
update.microsofthk.com,Possible Cobalt Strike C2 Domain
update.microsoftkernel.com,Possible Cobalt Strike C2 Domain
update.micsoft365.online,Possible Cobalt Strike C2 Domain
update.qq.com,Possible Cobalt Strike C2 Fronting Domain
update.toythieves.com,Possible Cobalt Strike C2 Fronting Domain
update.up.interior-gov-pk.org,Possible Cobalt Strike C2 Domain
updateinfo.windows.vip.global.prod.fastly.net,Possible Cobalt Strike C2 Domain
updateinfo.windows.vip.global.prod.fastly.net,Possible Cobalt Strike C2 Fronting Domain
updatelink.firefoxokt.top,Possible Cobalt Strike C2 Domain
usizevuru.biz,Possible Cobalt Strike C2 Fronted Domain
v2ray1.mmsy.top,Possible Cobalt Strike C2 Domain
v2ray2.mmsy.top,Possible Cobalt Strike C2 Domain
vbp950269936.softether.net,Possible Cobalt Strike C2 Domain
velmeded.com,Possible Cobalt Strike C2 Domain
veriernano.com,Possible Cobalt Strike C2 Domain
verify.update.nadra-pk.org,Possible Cobalt Strike C2 Domain
vigorouseuclid.zscaler.skytapdns.com,Possible Cobalt Strike C2 Domain
vindowsupdt.ru,Possible Cobalt Strike C2 Domain
visitor_info.thet0urist.cf,Possible Cobalt Strike C2 Fronting Domain
vx.hypersploit.net,Possible Cobalt Strike C2 Domain
wbufrkbv.gofunhome.buzz,Possible Cobalt Strike C2 Domain
webcopy.cloud,Possible Cobalt Strike C2 Domain
webtoolsmedia.com,Possible Cobalt Strike C2 Domain
wh.crland.com.cn,Possible Cobalt Strike C2 Fronting Domain
whoamb.microsoft.com,Possible Cobalt Strike C2 Fronting Domain
windowsupdate.social,Possible Cobalt Strike C2 Domain
windowsupdate.test.upcdn.net,Possible Cobalt Strike C2 Fronted Domain
www.16-fa.pw,Possible Cobalt Strike C2 Domain
www.16-fa.pw,Possible Cobalt Strike C2 Fronting Domain
www.360mon.cn,Possible Cobalt Strike C2 Fronted Domain
www.360safengine.club,Possible Cobalt Strike C2 Domain
www.360safengine.club,Possible Cobalt Strike C2 Fronted Domain
www.abchina.com,Possible Cobalt Strike C2 Fronting Domain
www.abchina.com.w.kunluncan.com,Possible Cobalt Strike C2 Fronted Domain
www.ajzq.com,Possible Cobalt Strike C2 Fronted Domain
www.amazon.com,Possible Cobalt Strike C2 Fronting Domain
www.amz123.world,Possible Cobalt Strike C2 Domain
www.appinn.com,Possible Cobalt Strike C2 Fronting Domain
www.ba1duu.icu,Possible Cobalt Strike C2 Domain
www.bing.com,Possible Cobalt Strike C2 Fronting Domain
www.certinstall.cc,Possible Cobalt Strike C2 Domain
www.chanenergy.com,Possible Cobalt Strike C2 Domain
www.cjjt.com.cn,Possible Cobalt Strike C2 Fronted Domain
www.crowdstk.com,Possible Cobalt Strike C2 Domain
www.csair.cloud,Possible Cobalt Strike C2 Domain
www.cufinancialservices.com,Possible Cobalt Strike C2 Domain
www.dangofil.xyz,Possible Cobalt Strike C2 Fronting Domain
www.darkerstan.top,Possible Cobalt Strike C2 Domain
www.dbappsecurity.com.cn,Possible Cobalt Strike C2 Fronting Domain
www.dhksblog.top,Possible Cobalt Strike C2 Domain
www.dingtalk.com,Possible Cobalt Strike C2 Fronting Domain
www.dnehtb.cn,Possible Cobalt Strike C2 Domain
www.docker-compose-update.com,Possible Cobalt Strike C2 Fronting Domain
www.dxszl.tk,Possible Cobalt Strike C2 Fronted Domain
www.ggcsg.live,Possible Cobalt Strike C2 Domain
www.guestwhoami.xyz,Possible Cobalt Strike C2 Domain
www.happynewgamewx.xyz,Possible Cobalt Strike C2 Domain
www.hinet-dns.tw,Possible Cobalt Strike C2 Domain
www.hkuspace.site,Possible Cobalt Strike C2 Domain
www.icbci.top,Possible Cobalt Strike C2 Domain
www.ilovechina.site,Possible Cobalt Strike C2 Domain
www.j-j-j.cn,Possible Cobalt Strike C2 Fronted Domain
www.jntm.cn.com,Possible Cobalt Strike C2 Domain
www.linkkedin.life,Possible Cobalt Strike C2 Domain
www.lion3.life,Possible Cobalt Strike C2 Domain
www.micorsoft.live,Possible Cobalt Strike C2 Domain
www.micrcscft-store.com,Possible Cobalt Strike C2 Domain
www.microsofer.top,Possible Cobalt Strike C2 Domain
www.microsoft-info.org,Possible Cobalt Strike C2 Domain
www.microsoft.com,Possible Cobalt Strike C2 Fronting Domain
www.netuse1.eu.org,Possible Cobalt Strike C2 Domain
www.newbing.fyi,Possible Cobalt Strike C2 Domain
www.nsxt.world,Possible Cobalt Strike C2 Domain
www.qaxnbyyds.shop,Possible Cobalt Strike C2 Domain
www.sharksbaby.pro,Possible Cobalt Strike C2 Domain
www.shazambatman.xyz,Possible Cobalt Strike C2 Domain
www.strategigears.com,Possible Cobalt Strike C2 Domain
www.tools-bitget.com,Possible Cobalt Strike C2 Domain
www1.ceshi897.cn,Possible Cobalt Strike C2 Domain
www2.ceshi897.cn,Possible Cobalt Strike C2 Domain
www3.ceshi897.cn,Possible Cobalt Strike C2 Domain
xianggepeach.f3322.net,Possible Cobalt Strike C2 Domain
xls.freeonline-office.com,Possible Cobalt Strike C2 Domain
xoyukiveni.co,Possible Cobalt Strike C2 Fronted Domain
xytcdn.hongmengchuangke.com,Possible Cobalt Strike C2 Fronted Domain
yahoo.com,Possible Cobalt Strike C2 Fronting Domain
yestcoin.com,Possible Cobalt Strike C2 Domain
zenzero-hqa4hxebf8hjejhg.z01.azurefd.net,Possible Cobalt Strike C2 Domain
zero.kdocs.cc,Possible Cobalt Strike C2 Domain
zh-cn.imags.microsoft.com,Possible Cobalt Strike C2 Fronting Domain
zh-cn.imags.microsoft.com.w.kunlunca.com,Possible Cobalt Strike C2 Fronted Domain
zh.servicesest.services,Possible Cobalt Strike C2 Domain
zjzwfw.gov.cn,Possible Cobalt Strike C2 Fronting Domain
zx.sortx2.com,Possible Cobalt Strike C2 Domain
zx.sveexec.com,Possible Cobalt Strike C2 Domain
zx.tackhostw.com,Possible Cobalt Strike C2 Domain
zx.vm3dservice.com,Possible Cobalt Strike C2 Domain
