#domain,ioc
service-k6swyxf1-1258536377.cd.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-kaic9luv-1307760246.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-kvmc8be7-1304892907.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-lqymkqhs-1306655841.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-mewxt0rn-1251826339.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-mtrar14d-1316554402.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-mxd9ixv3-1255936572.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-n8rz74li-1301267584.hk.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-npr00e01-1300810596.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-ogf120ck-1300456157.nj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-ohpiv7vr-1310764774.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-opiag0j1-1308639534.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-oshdwnr7-1306743016.bj.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-p54klbhi-1300810596.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-qgq5kvsb-1311579215.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-qke82nt8-1301348154.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-rgfpp2kt-1307379765.sh.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
service-rsb9hux9-1258128533.cd.apigw.tencentcs.com,Possible Cobalt Strike C2 Domain
sfioa-express.intlsdcn.com,Possible Cobalt Strike C2 Domain
shop.zandda.club,Possible Cobalt Strike C2 Fronted Domain
sinatxbaidu.oneneo.xyz,Possible Cobalt Strike C2 Domain
skynet-i.asuscomm.com,Possible Cobalt Strike C2 Domain
software.cncb.info,Possible Cobalt Strike C2 Domain
solid.lionhealthpharmacy.com,Possible Cobalt Strike C2 Domain
stackpath-analytics-gpvlqzqeda-uc.a.run.app,Possible Cobalt Strike C2 Fronted Domain
station.startupstorey.com,Possible Cobalt Strike C2 Domain
stela-artua.xyz,Possible Cobalt Strike C2 Domain
sunshine.nicetrue.one,Possible Cobalt Strike C2 Domain
support.azrue-mircosoft.com,Possible Cobalt Strike C2 Domain
sviacloud.link,Possible Cobalt Strike C2 Domain
sybercodesilver.lol,Possible Cobalt Strike C2 Domain
t.takaelot.com,Possible Cobalt Strike C2 Domain
tcessolution.com,Possible Cobalt Strike C2 Domain
test.227api.com,Possible Cobalt Strike C2 Domain
test.g-security.cn,Possible Cobalt Strike C2 Domain
test.kolunbia.com,Possible Cobalt Strike C2 Domain
test.mydhx.top,Possible Cobalt Strike C2 Domain
testdcxtadmin.qianxinsecurity.com,Possible Cobalt Strike C2 Domain
testdcxtadmin1.qianxinsecurity.com,Possible Cobalt Strike C2 Domain
testwscdn.m.37.com,Possible Cobalt Strike C2 Fronted Domain
thursday.kfc4.icu,Possible Cobalt Strike C2 Fronting Domain
tools.internalupdate.net,Possible Cobalt Strike C2 Domain
tourist.healthgradespro.com,Possible Cobalt Strike C2 Domain
upbetanetworks.org,Possible Cobalt Strike C2 Domain
upcloudser.online,Possible Cobalt Strike C2 Domain
update.aliyunupdate.work,Possible Cobalt Strike C2 Domain
update.asiainfo-sec.com,Possible Cobalt Strike C2 Fronting Domain
update.asiainfo-sec.com.cdn.dnsv1.com.cn,Possible Cobalt Strike C2 Fronted Domain
update.edgeupdates.com,Possible Cobalt Strike C2 Domain
update.ibaidu.buzz,Possible Cobalt Strike C2 Domain
update.livcloud.info,Possible Cobalt Strike C2 Domain
update.microsoftapply.com,Possible Cobalt Strike C2 Domain
update.microsofthk.com,Possible Cobalt Strike C2 Domain
update.microsoftkernel.com,Possible Cobalt Strike C2 Domain
update.optaneinteloss.com,Possible Cobalt Strike C2 Fronted Domain
update.optelinteloss.com,Possible Cobalt Strike C2 Fronted Domain
updatelink.firefoxokt.top,Possible Cobalt Strike C2 Domain
upload.flash-update.info,Possible Cobalt Strike C2 Domain
utilityupdate.com,Possible Cobalt Strike C2 Domain
v10.officaesmicrasftonline.com,Possible Cobalt Strike C2 Fronted Domain
v2ray1.mmsy.top,Possible Cobalt Strike C2 Domain
v2ray2.mmsy.top,Possible Cobalt Strike C2 Domain
vegetable.readquotations.com,Possible Cobalt Strike C2 Domain
veriernano.com,Possible Cobalt Strike C2 Domain
verify.update.nadra-pk.org,Possible Cobalt Strike C2 Domain
version.easthudsoninvestments.com,Possible Cobalt Strike C2 Domain
vigorouseuclid.zscaler.skytapdns.com,Possible Cobalt Strike C2 Domain
vps.cpple.tk,Possible Cobalt Strike C2 Domain
websystemdisk.com,Possible Cobalt Strike C2 Domain
weixin.zjstv.com,Possible Cobalt Strike C2 Fronting Domain
windowsupdate.viewdns.net,Possible Cobalt Strike C2 Domain
wps.cncb.info,Possible Cobalt Strike C2 Domain
www.0nedriveup.com,Possible Cobalt Strike C2 Domain
www.360mon.cn,Possible Cobalt Strike C2 Fronted Domain
www.5cq.com,Possible Cobalt Strike C2 Fronted Domain
www.alwy.live,Possible Cobalt Strike C2 Domain
www.association-financial.com,Possible Cobalt Strike C2 Fronted Domain
www.baidusec.top,Possible Cobalt Strike C2 Domain
www.emohack.xyz,Possible Cobalt Strike C2 Domain
www.fayevalentine.world,Possible Cobalt Strike C2 Domain
www.gdstictk.buzz,Possible Cobalt Strike C2 Domain
www.hongtong502.cn,Possible Cobalt Strike C2 Domain
www.hongtong502.cn,Possible Cobalt Strike C2 Fronting Domain
www.jntm.cn.com,Possible Cobalt Strike C2 Domain
www.leakeddata.site,Possible Cobalt Strike C2 Domain
www.micorsoft.live,Possible Cobalt Strike C2 Domain
www.micrcscft-store.com,Possible Cobalt Strike C2 Domain
www.microsoft-update.club,Possible Cobalt Strike C2 Domain
www.nacosgov.xyz,Possible Cobalt Strike C2 Domain
www.postreq.net,Possible Cobalt Strike C2 Domain
www.qtencent.life,Possible Cobalt Strike C2 Domain
www.sitennews.com,Possible Cobalt Strike C2 Domain
www.test9977.tk,Possible Cobalt Strike C2 Domain
www.unbreakable.live,Possible Cobalt Strike C2 Domain
www.upgrad3.cc,Possible Cobalt Strike C2 Domain
www.weatherths.com,Possible Cobalt Strike C2 Domain
www1.ceshi897.cn,Possible Cobalt Strike C2 Domain
www2.ceshi897.cn,Possible Cobalt Strike C2 Domain
www3.ceshi897.cn,Possible Cobalt Strike C2 Domain
xcaadoadw.store,Possible Cobalt Strike C2 Domain
xmkq08012g.top,Possible Cobalt Strike C2 Domain
xytcdn.hongmengchuangke.com,Possible Cobalt Strike C2 Fronted Domain
ys035.tv,Possible Cobalt Strike C2 Domain
yuiko.xyz,Possible Cobalt Strike C2 Domain
zx.regsvrsvc.com,Possible Cobalt Strike C2 Domain
zx.svchostsreg.com,Possible Cobalt Strike C2 Domain
